symbol	S1	S3	S4	S7	S8	S9	S6	R1	R3	R4	R6	R7	R9	R5	avgCounts	foldChange	log2FoldChange	pvalue	padj	log10padj	Tier
WDR1	1268.89574984463	1253.29091918221	2175.24412851681	1641.2533245156	1611.09486349213	2166.15624388737	1308.855800124	1536.80946800264	869.002074744392	709.730392982893	1063.10903806748	1330.51973668486	923.72060381182	1231.16981845972	1363.48944016547	0.670421469391819	-0.576859744643124	0.008981584204359	0.122351099690058	0.912392122861618	NonDEG
TOM1	399.324119289463	291.124535287368	292.847612396007	318.857183464412	471.693187049077	341.337045283521	363.608057405818	389.076453955579	187.524374016744	140.41123116326	206.015852789094	277.767155996486	130.845069894525	233.310455833167	288.838738130323	0.630911085685264	-0.664491394401403	0.00902599687236	0.122542648491951	0.911712737575065	NonDEG
GRB7	601.123001679434	249.538018692822	515.524734283813	281.696173554906	1115.83754024876	272.740280613326	578.316432046522	1336.04175746147	611.305324978825	1412.96266152049	4515.96971310879	365.999958294342	275.466704630815	896.574511587628	930.649772335853	2.60488867562699	1.38122171778105	0.009043334794047	0.122623988857301	0.91142456073742	NonDEG
MAVS	311.309723129857	219.687178066468	272.388082849027	312.311354051721	207.725095177934	341.172856089088	276.484577850725	344.383100570933	461.047102776416	683.863848713702	301.612201695771	356.308377471427	396.292660802074	340.661840130865	344.660571384001	1.48513924105391	0.57059819901303	0.009085472362614	0.123040977221518	0.909950228256008	NonDEG
NME7	81.6609823311699	61.5614015675275	108.519042218975	65.7790820875802	44.9786913589439	44.0452961997559	60.4378201656806	112.042170938902	111.375439136787	68.246256144713	142.89118007881	94.3486371000111	111.891329892638	104.037670987261	86.5582143006253	1.59689786100393	0.6752720396524	0.009118249702288	0.123269784569623	0.909143363005289	NonDEG
SHROOM1	240.108555871193	71.555403351852	419.510890893741	70.5065080797915	118.828572147468	193.504117787767	224.541652788948	65.3109873192564	108.016473579968	46.572846043198	75.1692748287284	200.381948099757	62.3206768024555	55.3045760296705	139.402320258842	0.456538913935335	-1.1311902586673	0.009125180684343	0.123269784569623	0.909143363005289	NonDEG
LAG3	191.238314108124	34.0343910509733	43.1836141025278	65.8335243492562	122.515744450573	76.9795068142299	65.7823456497224	27.2788484495478	17.4917127375632	104.75242165047	21.6627755423412	13.9506319635259	28.2892100244778	33.8367948059058	60.4878454070885	0.409383527323821	-1.28847504217517	0.009149086040725	0.123402130864704	0.908677340993273	NonDEG
ZNF93	123.759904674577	137.120630070833	234.58023878113	157.761549274666	184.181260659194	304.813687641883	107.077274895055	170.610346251441	437.328430123766	592.728368798981	351.25501686634	234.16416567123	150.719803548232	364.409110580547	253.60784198842	1.8440804366919	0.882901585857048	0.009157815208059	0.123402130864704	0.908677340993273	NonDEG
C12orf65	100.53916654423	221.501928418102	118.314312526772	194.484473224638	109.646584731984	116.190326673445	158.832580367365	210.568858142458	264.238048605338	185.933376659615	220.598930097188	191.234019111834	352.240724630062	174.679328417593	187.07161843933	1.57272281336582	0.653264423442383	0.009177371489106	0.12340954357534	0.908651253902107	NonDEG
PTPN22	338.891076443924	667.981392379973	143.351800553234	129.591256643238	491.878125267208	500.921859324821	263.324059364023	127.767991313814	57.6012951645547	437.80354036863	94.792946289834	73.994076473861	117.663564255423	186.992987085173	259.468283637694	0.431923722911063	-1.21115153780933	0.009181204130154	0.12340954357534	0.908651253902107	NonDEG
ARHGEF19	278.745036698683	195.954282735234	350.237044927475	115.044162406476	248.882438129791	198.034507898386	190.28326702145	494.737998703369	376.175030941286	119.40843018869	409.999280009638	419.718356497843	636.022578844245	361.203341723425	313.888982623285	1.78537699639876	0.836228742829983	0.009241677610299	0.123712586318556	0.907586113704531	NonDEG
C11orf30	307.565366812662	156.617656626671	283.997046494287	328.409534569185	268.440932429666	245.990464351981	370.546644839994	1556.71272989998	321.697136776053	282.898306133165	344.171376222434	398.04283765262	597.388075317096	348.029671208401	415.036269952443	1.96390312347234	0.973723765328197	0.009286200044096	0.123712586318556	0.907586113704531	NonDEG
DHX36	263.328412153723	156.543301281456	195.755543948096	251.683921594883	151.033046839451	185.393793141532	222.854718076832	288.864764745601	207.895187630915	327.044707568867	291.562543597479	230.537807455564	390.103275990916	329.495908672088	249.435495192672	1.44967846026103	0.535732944910596	0.009269534674821	0.123712586318556	0.907586113704531	NonDEG
DYNLT3	435.295285201072	684.80813027768	326.811332264531	412.471233380624	630.023196128631	418.15352088115	191.703992756029	277.90220005215	136.968306178921	193.205806284239	168.305383559429	220.57749885239	254.138384433545	484.461944684031	345.344729638173	0.559233598911909	-0.838477054046284	0.009272172200016	0.123712586318556	0.907586113704531	NonDEG
RAPGEFL1	87.7394114740149	48.1774286883125	176.676009513272	76.5379518710207	178.271054686537	55.2843548810018	121.330819096735	140.207370901206	289.268689465006	114.125114384194	530.03255171403	102.686654159124	254.339664922316	148.415514205262	165.935184997288	2.12663717149156	1.08857391409754	0.009295328961846	0.123712586318556	0.907586113704531	NonDEG
TLN1	1132.6041823417	512.236894879874	1470.92074341511	921.778222427753	1529.31607122369	1272.69421444422	904.572055646465	898.733676315413	514.958104876459	709.214791073353	739.553027789383	881.982017684091	517.226629439552	687.422101316584	906.658052348118	0.638824361538771	-0.64650876397758	0.009246833772616	0.123712586318556	0.907586113704531	NonDEG
WBP1	745.978849643638	1404.43031584289	928.587231104123	795.89474438977	695.121496109844	840.297800115013	743.693185829967	1116.00591633868	1394.46119662885	1011.36168090812	1464.49543976255	1158.20656802102	1311.10734515598	1178.0644794726	1056.2647320945	1.40289268634916	0.488404654864285	0.009228759192655	0.123712586318556	0.907586113704531	NonDEG
XRCC3	102.307950900182	61.1373143243345	63.537090061077	120.419103465956	95.6420051432467	47.0493337411008	150.254948080004	87.3825322636319	217.569642188972	236.725212035801	191.036232484979	105.616130207365	275.657574070964	87.5509322780669	131.563285803263	1.88247892354592	0.912633712405301	0.009280613078149	0.123712586318556	0.907586113704531	NonDEG
UVRAG	136.623557387191	132.424738712519	118.318927812812	144.309178211511	114.288144135248	138.424041679763	203.824296381063	844.796035714604	86.6720812705737	221.612304230418	169.824598069807	177.270179985026	254.99949301073	265.32150563918	214.907791588603	2.05007546402949	1.03567701684159	0.009310030769806	0.123755845669488	0.90743427779204	NonDEG
ATP9B	87.3329717557149	68.7673535334368	75.7455919340049	80.9569563829683	105.320578196106	59.5832414157773	88.170405331587	59.0308464046202	69.2385161582135	48.1472223139363	32.0241763696089	40.6441780220797	70.6546877266974	45.6779371955614	66.5210473385938	0.642631064707665	-0.637937372689217	0.009352072502971	0.123857656298541	0.907077142203413	NonDEG
EFEMP1	622.810192235404	103.801202785436	439.195594606733	61.5444441874419	1370.06819518422	1590.9381941503	597.812890330051	285.66979461171	119.777491503746	601.880783310478	163.284444116813	100.757152309376	186.01356927699	238.18029805709	462.981017618985	0.353861100182707	-1.49874491932949	0.009343697743854	0.123857656298541	0.907077142203413	NonDEG
WISP1	221.932124205379	19.4360380592993	169.206183340431	20.0434621479056	231.683780701874	199.417463317175	69.5150835841152	77.4211427241613	12.3152568837653	14.1620750687983	13.67482835874	92.8466125268601	17.3128114739481	72.0440062287837	87.9293477586597	0.320035234008598	-1.64369734873965	0.00934113005553	0.123857656298541	0.907077142203413	NonDEG
LACTB	83.6615388755982	128.679753031327	43.2344798639564	53.0496010694397	80.1287633133623	79.9798313595802	70.6885236332995	37.037367239022	24.1140284663337	89.1819059867943	37.3965197426983	37.4313578261689	27.3403533964023	39.5861129460407	59.3935811964303	0.538596783078665	-0.892722481925455	0.00940299247262	0.123954325111286	0.906738314888947	NonDEG
SAMSN1	248.572912572674	54.6524448330415	23.8001713638622	37.0818060218143	120.308932059805	87.8354014307942	70.2044218654193	74.2586050360435	11.99734519571	43.349348471301	24.4176477118152	15.2293159830956	30.1734045872018	52.6838187079961	63.8975411314696	0.391177908575771	-1.35410319721509	0.009390857558079	0.123954325111286	0.906738314888947	NonDEG
SNORA71B	1136.38461539224	2754.39076382924	716.1677197653	1173.18863397087	1825.71442428864	1569.61880799549	189.000273401365	2425.50135179514	2936.85974579397	2320.35037547555	3316.16808260479	1331.74784943775	1848.88839361111	6962.6650535717	2179.04614935237	2.25806672359748	1.17508811692622	0.00938148835206	0.123954325111286	0.906738314888947	NonDEG
VWF	81.3411440297081	17.0436886604801	93.1617265586928	40.2003296158051	28.4199928995913	224.296198924	59.8156175911223	53.8094049012494	20.3863884724513	19.3498230028598	25.1385206658802	32.3001901561193	43.368051291489	30.6541659268746	54.9489459068802	0.411627408415324	-1.28058904689169	0.009405250910637	0.123954325111286	0.906738314888947	NonDEG
EMID1	87.9876127899888	897.530979834533	245.336510995785	189.707221555299	126.505405244648	265.646304412032	252.154348911634	567.507920461436	927.402304648052	291.315286531717	2338.47697015665	288.529050670741	345.608326781076	614.895907839858	531.328867916675	2.60489551732217	1.38122550698971	0.009551869813951	0.124441946867403	0.905033203066739	NonDEG
GPR56	1165.62591960023	4190.34264361572	1805.37701507837	5521.15544089023	1530.25582449063	980.816864438447	1937.78969155513	1921.93271783329	542.148386988069	911.247704802319	905.330144559561	1836.77289277733	609.621445615226	1412.7797034024	1805.08545683193	0.474948746889359	-1.07415625849239	0.00956969828448	0.124441946867403	0.905033203066739	NonDEG
